,score,component,cui,term,points
0,hasbled,bleeding_medications,S-15100811000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc),1
1,hasbled,bleeding_medications,S-18109611000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd),1
2,hasbled,bleeding_medications,S-24174611000001100,Ibuprofen 100mg/5ml oral suspension sugar free (DE Pharmaceuticals),1
3,hasbled,bleeding_medications,S-30804111000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Accord Healthcare Ltd),1
4,hasbled,bleeding_medications,S-37421811000001104,Ibuprofen 100mg/5ml oral suspension sugar free (Relonchem Ltd),1
5,hasbled,bleeding_medications,S-12597711000001100,Ibuprofen 200mg/5ml oral suspension (Special Order),1
6,hasbled,bleeding_medications,S-9210011000001100,Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free (Thornton & Ross Ltd),1
7,hasbled,bleeding_medications,S-9458211000001100,Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free (A A H Pharmaceuticals Ltd),1
8,hasbled,bleeding_medications,S-13623911000001100,Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free (Pinewood Healthcare),1
9,hasbled,bleeding_medications,S-694411000001106,Nurofen 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),1
10,hasbled,bleeding_medications,S-621911000001109,Nurofen 200mg caplets (Reckitt Benckiser Healthcare (UK) Ltd),1
11,hasbled,bleeding_medications,S-3869111000001100,Nurofen Meltlets 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),1
12,hasbled,bleeding_medications,S-3917611000001100,Nurofen 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),1
13,hasbled,bleeding_medications,S-664811000001105,Nurofen for Children 100mg/5ml oral suspension orange (Reckitt Benckiser Healthcare (UK) Ltd),1
14,hasbled,bleeding_medications,S-3915411000001100,Nurofen Plus tablets (Reckitt Benckiser Healthcare (UK) Ltd),1
15,hasbled,bleeding_medications,S-4605611000001100,Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets orange (Reckitt Benckiser Healthcare (UK) Ltd),1
16,hasbled,bleeding_medications,S-8061211000001100,Nurofen Back Pain SR 300mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),1
17,hasbled,bleeding_medications,S-4606211000001100,Nurofen Cold and Flu tablets (Reckitt Benckiser Healthcare (UK) Ltd),1
18,hasbled,bleeding_medications,S-9164611000001100,Nurofen for Children 100mg/5ml oral suspension strawberry (Reckitt Benckiser Healthcare (UK) Ltd),1
