,code,term,system,codelist,cui
0,15100811000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc),SNOMED,bleeding_medications_hasbled,S-15100811000001100
1,18109611000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd),SNOMED,bleeding_medications_hasbled,S-18109611000001100
2,24174611000001100,Ibuprofen 100mg/5ml oral suspension sugar free (DE Pharmaceuticals),SNOMED,bleeding_medications_hasbled,S-24174611000001100
3,30804111000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Accord Healthcare Ltd),SNOMED,bleeding_medications_hasbled,S-30804111000001100
4,37421811000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Relonchem Ltd),SNOMED,bleeding_medications_hasbled,S-37421811000001104
5,12597711000001100,Ibuprofen 200mg/5ml oral suspension (Special Order),SNOMED,bleeding_medications_hasbled,S-12597711000001100
6,9210011000001100,Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free (Thornton & Ross Ltd),SNOMED,bleeding_medications_hasbled,S-9210011000001100
7,9458211000001100,Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free (A A H Pharmaceuticals Ltd),SNOMED,bleeding_medications_hasbled,S-9458211000001100
8,13623911000001100,Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free (Pinewood Healthcare),SNOMED,bleeding_medications_hasbled,S-13623911000001100
9,694411000001106,Nurofen 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-694411000001106
10,621911000001109,Nurofen 200mg caplets (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-621911000001109
11,3869111000001100,Nurofen Meltlets 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-3869111000001100
12,3917611000001100,Nurofen 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-3917611000001100
13,664811000001105,Nurofen for Children 100mg/5ml oral suspension orange (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-664811000001105
14,3915411000001100,Nurofen Plus tablets (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-3915411000001100
15,4605611000001100,Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets orange (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-4605611000001100
16,8061211000001100,Nurofen Back Pain SR 300mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-8061211000001100
17,4606211000001100,Nurofen Cold and Flu tablets (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-4606211000001100
18,9164611000001100,Nurofen for Children 100mg/5ml oral suspension strawberry (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-9164611000001100
19,9164311000001100,Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets strawberry (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-9164311000001100
20,10768811000001100,Nurofen Extra Strength 400mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-10768811000001100
21,11934511000001100,Nurofen Express 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-11934511000001100
22,11934911000001100,Nurofen Express 400mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-11934911000001100
23,21524011000001100,Nurofen Express Period Pain 200mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-21524011000001100
24,23649611000001100,Nurofen for Children Cold Pain and Fever Strawberry Flavour 100mg/5ml oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-23649611000001100
25,23649811000001100,Nurofen for Children Cold Pain and Fever Orange Flavour 100mg/5ml oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-23649811000001100
26,31394911000001100,Nurofen Joint & Back Pain Relief 200mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled,S-31394911000001100
